id	strain	ok	call.rate
5683	B6.A-15 BC1	227	0.965957447
5684	B6.A-15 BC1	232	0.987234043
5689	B6.A-17 BC1	229	0.974468085
5694	B6.A-19 BC1	231	0.982978723
5695	B6.A-19 BC1	229	0.974468085
5700	B6.A-15 BC1	228	0.970212766
5716	B6.A-15 BC1	231	0.982978723
5718	B6.A-19 BC1	230	0.978723404
5719	B6.A-19 BC1	222	0.944680851
5720	B6.A-19 BC1	230	0.978723404
5721	B6.A-19 BC1	230	0.978723404
5722	B6.A-19 BC1	231	0.982978723
5723	B6.A-19 BC1	227	0.965957447
5745	B6.A-19 BC1	230	0.978723404
5746	B6.A-19 BC1	229	0.974468085
5747	B6.A-19 BC1	181	0.770212766
5748	B6.A-19 BC1	229	0.974468085
5749	B6.A-19 BC1	228	0.970212766
5750	B6.A-15 BC1	226	0.961702128
5751	B6.A-15 BC1	185	0.787234043
5752	B6.A-15 BC1	223	0.94893617
5753	B6.A-15 BC1	228	0.970212766
5756	B6.A-17 BC1	230	0.978723404
5759	B6.A-19 BC1	231	0.982978723
5761	B6.A-19 BC1	230	0.978723404
5762	B6.A-19 BC1	223	0.94893617
5772	B6.A-19 BC1	228	0.970212766
5773	B6.A-19 BC1	218	0.927659574
5776	B6.A-15 BC1	184	0.782978723
5777	B6.A-15 BC1	232	0.987234043
5781	B6.A-19 F1	231	0.982978723
5782	B6.A-19 F1	229	0.974468085
5783	B6.A-19 F1	231	0.982978723
5784	B6.A-19 BC1	229	0.974468085
5787	B6.A-17 BC1	232	0.987234043
5788	B6.A-17 BC1	226	0.961702128
5789	B6.A-17 BC1	227	0.965957447
5803	B6.A-19 BC1	229	0.974468085
5804	B6.A-19 BC1	227	0.965957447
5815	B6.A-17 BC1	229	0.974468085
5816	B6.A-17 BC1	230	0.978723404
5820	B6.A-17 BC1	230	0.978723404
5821	B6	229	0.974468085
5823	B6.A-17 BC1	229	0.974468085
5824	B6.A-17 BC1	183	0.778723404
5825	B6.A-19 BC1	229	0.974468085
5828	B6.A-17 F1	184	0.782978723
5829	B6.A-17 F1	230	0.978723404
5830	B6.A-17 F1	230	0.978723404
5832	B6.A-17 BC1	230	0.978723404
5833	B6.A-17 BC1	229	0.974468085
5834	B6.A-17 BC1	231	0.982978723
5837	B6.A-17 BC1	230	0.978723404
5838	B6.A-19 BC1	228	0.970212766
5839	B6.A-19 BC1	227	0.965957447
5840	B6.A-19 BC1	231	0.982978723
5841	B6.A-19 BC1	230	0.978723404
5842	B6.A-19 BC1	231	0.982978723
5843	B6.A-19 BC1	229	0.974468085
5845	B6.A-15 BC1	229	0.974468085
5846	B6.A-15 BC1	230	0.978723404
5848	B6.A-17 BC1	184	0.782978723
5850	B6.A-17 BC1	229	0.974468085
5851	B6.A-17 BC1	230	0.978723404
