id	strain	ok	call.rate	sex
458	B6.A-19 BC1	233	0.9628	F
496	B6.A-19 BC1	219	0.905	F
535	B6.A-19 BC1	235	0.9711	M
543	B6.A-19 BC1	233	0.9628	F
585	B6.A-19 BC1	236	0.9752	M
279	B6.A-19 BC1	233	0.9628	M
860	B6.A-19 BC1	236	0.9752	F
285	B6.A-19 BC1	235	0.9711	M
550	B6.A-19 BC1	239	0.9876	M
619	B6.A-19 BC1	238	0.9835	M
498	B6.A-19 BC1	238	0.9835	M
143	B6.A-19 BC1	232	0.9587	M
145	B6.A-19 BC1	234	0.9669	M
148	B6.A-19 BC1	234	0.9669	M
150	B6.A-19 BC1	231	0.9545	M
184	B6.A-19 BC1	229	0.9463	F
187	B6.A-19 BC1	234	0.9669	M
193	B6.A-19 BC1	235	0.9711	M
236	B6.A-19 BC1	233	0.9628	F
280	B6.A-19 BC1	234	0.9669	M
286	B6.A-19 BC1	233	0.9628	M
287	B6.A-19 BC1	190	0.7851	F
288	B6.A-19 BC1	233	0.9628	F
340	B6.A-19 BC1	234	0.9669	M
348	B6.A-19 BC1	235	0.9711	M
405	B6.A-19 BC1	233	0.9628	F
415	B6.A-19 BC1	232	0.9587	M
416	B6.A-19 BC1	233	0.9628	F
457	B6.A-19 BC1	233	0.9628	F
460	B6.A-19 BC1	234	0.9669	M
516	B6.A-19 BC1	233	0.9628	F
521	B6.A-19 BC1	236	0.9752	M
530	B6.A-19 BC1	233	0.9628	F
531	B6.A-19 BC1	236	0.9752	F
534	B6.A-19 BC1	234	0.9669	F
539	B6.A-19 BC1	235	0.9711	M
545	B6.A-19 BC1	234	0.9669	F
546	B6.A-19 BC1	237	0.9793	F
547	B6.A-19 BC1	238	0.9835	M
548	B6.A-19 BC1	234	0.9669	F
584	B6.A-19 BC1	234	0.9669	M
587	B6.A-19 BC1	233	0.9628	F
590	B6.A-19 BC1	235	0.9711	F
605	B6.A-19 BC1	234	0.9669	F
650	B6.A-19 BC1	237	0.9793	M
651	B6.A-19 BC1	238	0.9835	M
653	B6.A-19 BC1	234	0.9669	M
658	B6.A-19 BC1	234	0.9669	F
681	B6.A-19 BC1	228	0.9421	F
782	B6.A-19 BC1	232	0.9587	M
785	B6.A-19 BC1	236	0.9752	M
786	B6.A-19 BC1	233	0.9628	M
272	B6.A-19 BC1	235	0.9711	M
275	B6.A-19 BC1	221	0.9132	F
751	B6.A-19 BC1	234	0.9669	M
752	B6.A-19 BC1	235	0.9711	M
753	B6.A-19 BC1	231	0.9545	F
754	B6.A-19 BC1	231	0.9545	F
755	B6.A-19 BC1	232	0.9587	F
756	B6.A-19 BC1	235	0.9711	F
757	B6.A-19 BC1	238	0.9835	M
859	B6.A-19 BC1	236	0.9752	F
862	B6.A-19 BC1	232	0.9587	F
171	B6.A-X F1	233	0.9628	M
172	B6.A-X F1	230	0.9504	M
372	B6.A-X F1	237	0.9793	M
478	B6.A-X F1	235	0.9711	M
502	B6.A-X F1	227	0.938	M
574	B6.A-X F1	238	0.9835	M
703	B6.A-X F1	232	0.9587	M
308	B6.A-X F1	233	0.9628	M
830	B6.A-X F1	233	0.9628	M
831	B6.A-X F1	237	0.9793	M
834	B6.A-X F1	236	0.9752	M
168	B6.A-X F1	236	0.9752	M
170	B6.A-X F1	234	0.9669	M
174	B6.A-X F1	231	0.9545	M
390	B6.A-X F1	236	0.9752	M
393	B6.A-X F1	236	0.9752	M
394	B6.A-X F1	236	0.9752	M
396	B6.A-X F1	235	0.9711	M
477	B6.A-X F1	238	0.9835	M
501	B6.A-X F1	236	0.9752	M
503	B6.A-X F1	238	0.9835	M
505	B6.A-X F1	237	0.9793	M
506	B6.A-X F1	237	0.9793	M
569	B6.A-X F1	238	0.9835	M
570	B6.A-X F1	237	0.9793	M
571	B6.A-X F1	237	0.9793	M
307	B6.A-X F1	234	0.9669	M
309	B6.A-X F1	235	0.9711	M
827	B6.A-X F1	239	0.9876	M
829	B6.A-X F1	237	0.9793	M
832	B6.A-X F1	238	0.9835	M
833	B6.A-X F1	236	0.9752	M
837	B6.A-X F1	238	0.9835	M
839	B6.A-X F1	239	0.9876	M
841	B6.A-X F1	235	0.9711	M
483	B6.A-X F1	238	0.9835	M
575	B6.A-X F1	236	0.9752	M
643	B6.A-X F1	227	0.938	M
645	B6.A-X F1	233	0.9628	M
